onglet,ligne,libelle,categorie_proposee,nature_proposee,premiere_formule_cellule,formule_observee,onglets_references,erreurs_litterales,nombre_formules,statut
Hyp 2027,206,M01,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,207,M02,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,208,M03,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,209,M04,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,210,M05,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,211,M06,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,212,M07,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,213,M08,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,214,M09,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,215,M10,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,216,M11,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,217,M12,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,219,REASS k Primes,TAUX × BASE,Ratio,B219,=B193/B192,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,220,REASS k Sin. Per.,TAUX × BASE,Ratio,B220,"=IFERROR(B195/B194,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,221,REASS k Sin. Ant.,TAUX × BASE,Ratio,B221,"=IFERROR(B197/B196,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,222,REASS taux commission 2026,TAUX × BASE,Ratio,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,224,"REC CLOTURE 2026 FY par branche (ancrage de l ouverture, fige toute l annee)",FIXE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,225,Direct REC cloture 2026 FY,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,226,Reass REC cloture 2026 FY,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,227,Direct REC cloture 2027 FY,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,228,Reass REC cloture 2027 FY,PROJECTION TEMPORELLE,Stock,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,230,TAUX REC 2026 = REC Cloture(m) / Primes YTD(m),TAUX × BASE,Ratio,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,231,Direct taux REC M01,TAUX × BASE,Ratio,B231,"=IFERROR(B58/B177,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,232,Direct taux REC M02,TAUX × BASE,Ratio,B232,"=IFERROR(B59/B6,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,233,Direct taux REC M03,TAUX × BASE,Ratio,B233,"=IFERROR(B60/B7,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,234,Direct taux REC M04,TAUX × BASE,Ratio,B234,"=IFERROR(B61/B8,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,235,Direct taux REC M05,TAUX × BASE,Ratio,B235,"=IFERROR(B62/B9,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,236,Direct taux REC M06,TAUX × BASE,Ratio,B236,"=IFERROR(B63/B10,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,238,Reass taux REC M01,TAUX × BASE,Ratio,B238,"=IFERROR(B131/B79,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,239,Reass taux REC M02,TAUX × BASE,Ratio,B239,"=IFERROR(B132/B80,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,240,Reass taux REC M03,TAUX × BASE,Ratio,B240,"=IFERROR(B133/B81,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,241,Reass taux REC M04,TAUX × BASE,Ratio,B241,"=IFERROR(B134/B82,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,242,Reass taux REC M05,TAUX × BASE,Ratio,B242,"=IFERROR(B135/B83,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,243,Reass taux REC M06,TAUX × BASE,Ratio,B243,"=IFERROR(B136/B84,0)",,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,245,MULTIPLICATEURS eclates par branche (pointent sur la LoB correspondante),TAUX × BASE,Ratio,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,246,k Primes,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,B246,=C166,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,247,k Sin. Per.,À QUALIFIER,En-tête ou autre,B247,=C167,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,248,k Sin. Ant.,À QUALIFIER,En-tête ou autre,B248,=C168,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,249,taux commission,TAUX × BASE,Ratio,B249,=C169,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,251,REASS k Primes,TAUX × BASE,Ratio,B251,=C171,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,252,REASS k Sin. Per.,TAUX × BASE,Ratio,B252,=C172,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,253,REASS k Sin. Ant.,TAUX × BASE,Ratio,B253,=C173,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,254,REASS taux commission,TAUX × BASE,Ratio,B254,=C174,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,259,(sans libellé),À QUALIFIER,En-tête ou autre,J259,=SUM(B259:I259),,,1,À valider métier ; formule non reprise automatiquement
Hyp 2027,260,(sans libellé),À QUALIFIER,En-tête ou autre,J260,=SUM(B260:I260),,,1,À valider métier ; formule non reprise automatiquement
Hyp 2027,261,(sans libellé),À QUALIFIER,En-tête ou autre,J261,=SUM(B261:I261),,,1,À valider métier ; formule non reprise automatiquement
Hyp 2027,262,(sans libellé),À QUALIFIER,En-tête ou autre,J262,=SUM(B262:I262),,,1,À valider métier ; formule non reprise automatiquement
Hyp 2027,263,(sans libellé),À QUALIFIER,En-tête ou autre,B263,=SUM(B259:B262),,,9,À valider métier ; formule non reprise automatiquement
Hyp 2027,264,(sans libellé),À QUALIFIER,En-tête ou autre,B264,=B263/12,,,9,À valider métier ; formule non reprise automatiquement
Hyp 2027,265,(sans libellé),À QUALIFIER,En-tête ou autre,B265,=B263/12,,,9,À valider métier ; formule non reprise automatiquement
Hyp 2027,266,(sans libellé),À QUALIFIER,En-tête ou autre,B266,=1/12,,,1,À valider métier ; formule non reprise automatiquement
Hyp 2027,268,Delta Prime emise Aout - Decembre,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,B268,=(-'Direct Local'!BU7+'Hyp 2027'!B148)/5,"Direct Local, Hyp 2027",,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,272,Rec,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,273,(sans libellé),À QUALIFIER,En-tête ou autre,B273,=B272/12,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,276,(sans libellé),À QUALIFIER,En-tête ou autre,B276,=(B6-B5)*B$166,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,277,(sans libellé),À QUALIFIER,En-tête ou autre,B277,=(B7-B6)*B$166,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,278,(sans libellé),À QUALIFIER,En-tête ou autre,B278,=(B8-B7)*B$166,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,279,(sans libellé),À QUALIFIER,En-tête ou autre,B279,=(B9-B8)*B$166,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,280,(sans libellé),À QUALIFIER,En-tête ou autre,B280,=(B10-B9)*B$166,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,281,(sans libellé),À QUALIFIER,En-tête ou autre,B281,=(B11-B10)*B$166,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,282,(sans libellé),À QUALIFIER,En-tête ou autre,B282,=(B$184-B$11)/5,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,283,(sans libellé),À QUALIFIER,En-tête ou autre,B283,=(B$184-B$11)/5,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,284,(sans libellé),À QUALIFIER,En-tête ou autre,B284,=(B$184-B$11)/5,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,285,(sans libellé),À QUALIFIER,En-tête ou autre,B285,=(B$184-B$11)/5,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,286,(sans libellé),À QUALIFIER,En-tête ou autre,B286,=(B$184-B$11)/5,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,289,Delta Prime cédé Aout - Decembre,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,B289,=(B157-'Reass Local'!BV7)/5,Reass Local,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,294,(sans libellé),À QUALIFIER,En-tête ou autre,B294,=SUM(B290:B293),,,9,À valider métier ; formule non reprise automatiquement
Hyp 2027,295,(sans libellé),À QUALIFIER,En-tête ou autre,B295,=B294/12,,,9,À valider métier ; formule non reprise automatiquement
Hyp 2027,299,(sans libellé),À QUALIFIER,En-tête ou autre,B299,=(B80-B79)*B$171,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,300,(sans libellé),À QUALIFIER,En-tête ou autre,B300,=(B81-B80)*B$171,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,301,(sans libellé),À QUALIFIER,En-tête ou autre,B301,=(B82-B81)*B$171,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,302,(sans libellé),À QUALIFIER,En-tête ou autre,B302,=(B83-B82)*B$171,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,303,(sans libellé),À QUALIFIER,En-tête ou autre,B303,=(B84-B83)*B$171,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,304,(sans libellé),À QUALIFIER,En-tête ou autre,B304,=(B85-B84)*B$171,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,305,(sans libellé),À QUALIFIER,En-tête ou autre,B305,='Reass Local'!CT7-'Reass Local'!CH7,Reass Local,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,306,(sans libellé),À QUALIFIER,En-tête ou autre,B306,=B$289,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,307,(sans libellé),À QUALIFIER,En-tête ou autre,B307,=B$289,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,308,(sans libellé),À QUALIFIER,En-tête ou autre,B308,=B$289,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,309,(sans libellé),À QUALIFIER,En-tête ou autre,B309,=B$289,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,310,(sans libellé),À QUALIFIER,En-tête ou autre,B310,=B$289,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,313,Taux Prime Emise /REC Cloture,TAUX × BASE,Ratio,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,314,(sans libellé),À QUALIFIER,En-tête ou autre,B314,=(B313-B321)/5,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,315,M01 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,316,M02 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,317,M03 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,318,M04 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,319,M05 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,320,M06 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,321,M07 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,322,M08 2026,À QUALIFIER,En-tête ou autre,B322,=B$321+B314,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,323,M09 2026,À QUALIFIER,En-tête ou autre,B323,=B322+B$314,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,324,M10 2026,À QUALIFIER,En-tête ou autre,B324,=B323+B$314,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,325,M11 2026,À QUALIFIER,En-tête ou autre,B325,=B324+B$314,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,326,M12 2026,À QUALIFIER,En-tête ou autre,B326,=B325+B$314,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,330,Taux Prime Cédée/REC Cloture  Reass,TAUX × BASE,Ratio,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,331,(sans libellé),À QUALIFIER,En-tête ou autre,B331,=(B343-B338)/5,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,332,M01 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,333,M02 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,334,M03 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,335,M04 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,336,M05 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,337,M06 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,338,M07 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,339,M08 2026,À QUALIFIER,En-tête ou autre,B339,=B338+B$331,,,7,À valider métier ; formule non reprise automatiquement
Hyp 2027,340,M09 2026,À QUALIFIER,En-tête ou autre,B340,=B339+B$331,,,7,À valider métier ; formule non reprise automatiquement
Hyp 2027,341,M10 2026,À QUALIFIER,En-tête ou autre,B341,=B340+B$331,,,7,À valider métier ; formule non reprise automatiquement
Hyp 2027,342,M11 2026,À QUALIFIER,En-tête ou autre,B342,=B341+B$331,,,7,À valider métier ; formule non reprise automatiquement
Hyp 2027,343,M12 2026,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,345,(sans libellé),À QUALIFIER,En-tête ou autre,B345,=(B358-B353)/5,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,347,M01,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,348,M02,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,349,M03,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,350,M04,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,351,M05,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,352,M06,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,353,M07,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,354,M08,À QUALIFIER,En-tête ou autre,B354,=B353+B$345,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,355,M09,À QUALIFIER,En-tête ou autre,B355,=B354+B$345,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,356,M10,À QUALIFIER,En-tête ou autre,B356,=B355+B$345,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,357,M11,À QUALIFIER,En-tête ou autre,B357,=B356+B$345,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,358,M12,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,362,Taux Variation de REC100%/ Prime Cédée 2027,TAUX × BASE,Ratio,,,,,0,À valider métier ; formule non reprise automatiquement
Hyp 2027,371,(sans libellé),À QUALIFIER,En-tête ou autre,B371,=SUM(B367:B370),,,9,À valider métier ; formule non reprise automatiquement
Hyp 2027,372,(sans libellé),À QUALIFIER,En-tête ou autre,B372,=B371/12,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,374,M01,À QUALIFIER,En-tête ou autre,B374,=B$372,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,375,M02,À QUALIFIER,En-tête ou autre,B375,=B$372,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,376,M03,À QUALIFIER,En-tête ou autre,B376,=B$372+50000000,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,377,M04,À QUALIFIER,En-tête ou autre,B377,=B$372,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,378,M05,À QUALIFIER,En-tête ou autre,B378,=B$372,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,379,M06,À QUALIFIER,En-tête ou autre,B379,=B$372,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,380,M07,À QUALIFIER,En-tête ou autre,B380,=B$372,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,381,M08,À QUALIFIER,En-tête ou autre,B381,=B$372,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,382,M09,À QUALIFIER,En-tête ou autre,B382,=B$372,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,383,M10,À QUALIFIER,En-tête ou autre,B383,=B$372,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,384,M11,À QUALIFIER,En-tête ou autre,B384,=B$372,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,385,M12,À QUALIFIER,En-tête ou autre,B385,=B$372,,,8,À valider métier ; formule non reprise automatiquement
Hyp 2027,390,Taux IBNR Direct-IFRS,TAUX × BASE,Ratio,,,,,0,À valider métier ; formule non reprise automatiquement
Direct Local,1,(sans libellé),À QUALIFIER,En-tête ou autre,A1,=87%,,,1,À valider métier ; formule non reprise automatiquement
Direct Local,2,(sans libellé),À QUALIFIER,En-tête ou autre,EJ2,=43550000/12,,,2,À valider métier ; formule non reprise automatiquement
Direct Local,4,Local GAAP,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Direct Local,5,F CFA,À QUALIFIER,En-tête ou autre,,,,,0,À valider métier ; formule non reprise automatiquement
Direct Local,7,Primes Emises,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,B7,='Hyp 2027'!B5*'Hyp 2027'!B166,Hyp 2027,,120,À valider métier ; formule non reprise automatiquement
Direct Local,8,PAP Ouverture,FIXE,Stock,J8,=SUM(D8:I8),,,112,À valider métier ; formule non reprise automatiquement
Direct Local,9,PAP Clôture,PROJECTION TEMPORELLE,Stock,J9,=SUM(D9:I9),,,112,À valider métier ; formule non reprise automatiquement
Direct Local,10,PANE Ouverture,FIXE,Stock,J10,=SUM(D10:I10),,,117,À valider métier ; formule non reprise automatiquement
Direct Local,11,PANE Clôture,PROJECTION TEMPORELLE,Stock,B11,=B10,,,117,À valider métier ; formule non reprise automatiquement
Direct Local,12,Chiffre d'Affaire,IDENTITÉ COMPTABLE,Calcul,B12,=B7-B8+B9-B10+B11,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,14,Sinistres payés Per.,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,B14,='Hyp 2027'!B264,Hyp 2027,,120,À valider métier ; formule non reprise automatiquement
Direct Local,15,Sinistres payés Ant.,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,J15,=SUM(D15:I15),,,72,À valider métier ; formule non reprise automatiquement
Direct Local,16,Sinistres Payés net des recours,IDENTITÉ COMPTABLE,Calcul,B16,=B14+B15,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,18,Commisions,À QUALIFIER,En-tête ou autre,B18,=B7*'Hyp 2027'!B206,Hyp 2027,,120,À valider métier ; formule non reprise automatiquement
Direct Local,20,REC Ouverture,FIXE,Stock,B20,='Hyp 2027'!B$177,Hyp 2027,,125,À valider métier ; formule non reprise automatiquement
Direct Local,21,REC Clôture,PROJECTION TEMPORELLE,Stock,B21,=B7*'Hyp 2027'!B315,Hyp 2027,,120,À valider métier ; formule non reprise automatiquement
Direct Local,22,Variation de REC CIMA 72%,IDENTITÉ COMPTABLE,Calcul,B22,=B21-B20,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,24,REC Ouverture,FIXE,Stock,B24,=B20/0.72,,,125,À valider métier ; formule non reprise automatiquement
Direct Local,25,REC Clôture,PROJECTION TEMPORELLE,Stock,B25,=B21/0.72,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,26,Variation de REC prorata,IDENTITÉ COMPTABLE,Calcul,B26,=B25-B24,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,28,DAC Ouv,FIXE,Stock,J28,=SUM(D28:I28),,,24,À valider métier ; formule non reprise automatiquement
Direct Local,29,DAC Clo,PROJECTION TEMPORELLE,Stock,J29,=SUM(D29:I29),,,24,À valider métier ; formule non reprise automatiquement
Direct Local,30,Var DAC,IDENTITÉ COMPTABLE,Calcul,B30,=B28-B29,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,32,REC Ouverture,FIXE,Stock,B32,=B24-B20,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,33,REC Clôture,PROJECTION TEMPORELLE,Stock,B33,=B25-B21,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,34,Variation des FAR 28%,IDENTITÉ COMPTABLE,Calcul,B34,=B33-B32,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,36,IBNR Ouverture,FIXE,Stock,J36,=SUM(D36:I36),,,117,À valider métier ; formule non reprise automatiquement
Direct Local,37,IBNR Clôture,VARIABLE ACTUARIELLE,Stock ou mouvement,B37,=B36,,,125,À valider métier ; formule non reprise automatiquement
Direct Local,38,Variation de IBNR CIMA,IDENTITÉ COMPTABLE,Calcul,B38,=B37-B36,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,41,IBNR BE Per.,VARIABLE ACTUARIELLE,Stock ou mouvement,J41,=SUM(D41:I41),,,24,À valider métier ; formule non reprise automatiquement
Direct Local,42,IBNR BE Ant.,VARIABLE ACTUARIELLE,Stock ou mouvement,J42,=SUM(D42:I42),,,24,À valider métier ; formule non reprise automatiquement
Direct Local,43,Variation de IBNR BE,IDENTITÉ COMPTABLE,Calcul,B43,=B42-B41,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,45,SAP hors chargement Per.,VARIABLE ACTUARIELLE,Stock ou mouvement,J45,=SUM(D45:I45),,,112,À valider métier ; formule non reprise automatiquement
Direct Local,46,SAP hors chargement Ant.,VARIABLE ACTUARIELLE,Stock ou mouvement,B46,=7522931981.67789+2357994271.90149,,,118,À valider métier ; formule non reprise automatiquement
Direct Local,47,Recours Per.,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,J47,=SUM(D47:I47),,,117,À valider métier ; formule non reprise automatiquement
Direct Local,48,Recours Per.Anté,PROJECTION TEMPORELLE,Flux ou stock selon la ligne,J48,=SUM(D48:I48),,,117,À valider métier ; formule non reprise automatiquement
Direct Local,49,SAP net de recours hors chargement,IDENTITÉ COMPTABLE,Calcul,B49,=(B46-B47*0)+(B45-B48*0),,,120,À valider métier ; formule non reprise automatiquement
Direct Local,51,Chargement de Gestion IBNR et SAP,VARIABLE ACTUARIELLE,Stock ou mouvement,,,,,0,À valider métier ; formule non reprise automatiquement
Direct Local,52,IBNR ouverture,FIXE,Stock,B52,=B36*1.05-B36,,,125,À valider métier ; formule non reprise automatiquement
Direct Local,53,IBNR cloture,VARIABLE ACTUARIELLE,Stock ou mouvement,B53,=B37*1.05-B37,,,125,À valider métier ; formule non reprise automatiquement
Direct Local,54,SAP exercice courant,VARIABLE ACTUARIELLE,Stock ou mouvement,B54,=B45*0.05,,,125,À valider métier ; formule non reprise automatiquement
Direct Local,55,SAP exercices antérieurs,VARIABLE ACTUARIELLE,Stock ou mouvement,B55,=B46*0.05,,,125,À valider métier ; formule non reprise automatiquement
Direct Local,57,IBNR BE,VARIABLE ACTUARIELLE,Stock ou mouvement,,,,,0,À valider métier ; formule non reprise automatiquement
Direct Local,58,Ouverture,FIXE,Stock,J58,=SUM(D58:I58),,,24,À valider métier ; formule non reprise automatiquement
Direct Local,59,Clôture Per.,PROJECTION TEMPORELLE,Stock,B59,=B41,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,60,Clôture Ant.,PROJECTION TEMPORELLE,Stock,B60,=B42,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,61,Variation Per.,IDENTITÉ COMPTABLE,Calcul,B61,=B59,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,62,Variation Ant.,IDENTITÉ COMPTABLE,Calcul,B62,=B60-B58,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,64,SAP hors chargement,VARIABLE ACTUARIELLE,Stock ou mouvement,,,,,0,À valider métier ; formule non reprise automatiquement
Direct Local,65,Ouverture,FIXE,Stock,J65,=SUM(D65:I65),,,117,À valider métier ; formule non reprise automatiquement
Direct Local,66,Clôture Per.,PROJECTION TEMPORELLE,Stock,B66,=B45-B47*0,,,125,À valider métier ; formule non reprise automatiquement
Direct Local,67,Clôture Ant.,PROJECTION TEMPORELLE,Stock,B67,=B46-B48*0,,,125,À valider métier ; formule non reprise automatiquement
Direct Local,68,Variation Per.,IDENTITÉ COMPTABLE,Calcul,B68,=B66,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,69,Variation Ant.,IDENTITÉ COMPTABLE,Calcul,B69,=B67-B65,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,71,SAP hors chargement,VARIABLE ACTUARIELLE,Stock ou mouvement,M71,=M66+M67,,,8,À valider métier ; formule non reprise automatiquement
Direct Local,72,ULAE Ouverture,FIXE,Stock,J72,=SUM(D72:I72),,,24,À valider métier ; formule non reprise automatiquement
Direct Local,73,ULAE Clôture,PROJECTION TEMPORELLE,Stock,B73,=B57,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,74,Variation Per.,IDENTITÉ COMPTABLE,Calcul,B74,=B73-B72,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,75,Chargement SAP,VARIABLE ACTUARIELLE,Stock ou mouvement,,,,,0,À valider métier ; formule non reprise automatiquement
Direct Local,76,Ouverture,FIXE,Stock,J76,=SUM(D76:I76),,,117,À valider métier ; formule non reprise automatiquement
Direct Local,77,Clôture Per.,PROJECTION TEMPORELLE,Stock,B77,=B45*0.05,,,125,À valider métier ; formule non reprise automatiquement
Direct Local,78,Clôture Ant.,PROJECTION TEMPORELLE,Stock,B78,=B46*0.05,,,125,À valider métier ; formule non reprise automatiquement
Direct Local,79,Variation chargement Per.,IDENTITÉ COMPTABLE,Calcul,B79,=B77,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,80,Variation chargement Ant.,IDENTITÉ COMPTABLE,Calcul,B80,=B78-B76,,,120,À valider métier ; formule non reprise automatiquement
Direct Local,81,(sans libellé),À QUALIFIER,En-tête ou autre,K81,=K69+K80,,,11,À valider métier ; formule non reprise automatiquement
